r,H2,F2
30,89535.07283,3000
31,60351775.74,3000
32,41185006.47,3000
33,28431272.2,3000
34,19840207.29,3000
35,13986171.35,3000
36,9953741.985,3000
37,7147604.108,3000
38,5175949.328,3000
39,3777973.202,3000
40,2778204.424,3000
41,2057380.809,3000
42,1533659.9,3000
43,1150362.485,3000
44,867893.3325,3000
45,658362.108,3000
46,501967.8482,3000
47,384546.7027,3000
48,295894.2258,3000
49,228608.0585,3000
50,177283.2558,3000
51,137948.5605,3000
52,107668.6068,3000
53,84261.25627,3000
54,66095.40469,3000
55,51945.42118,3000
56,40885.71349,3000
57,32213.90556,3000
58,25394.54428,3000
59,20017.6237,3000
60,15767.8653,3000
61,12401.84963,3000
62,9730.909387,3000
63,7608.272081,3000
64,5919.352899,3000
65,4574.39375,3000
66,3502.857916,3000
67,2649.144218,3000
68,1969.297202,3000
69,1428.472318,3000
70,998.9756897,3000
71,658.7428768,3000
72,390.1543226,3000
73,179.1099336,3000
74,14.30382922,3000
75,-113.3457682,3000
76,-211.1460019,3000
77,-284.9847356,3000
78,-339.6122644,3000
79,-378.8652236,3000
80,-405.845003,3000
81,-423.0602487,3000
82,-432.5409442,3000
83,-435.9299387,3000
84,-434.5565341,3000
85,-429.495766,3000
86,-421.6162493,3000
87,-411.6188634,3000
88,-400.0680834,3000
89,-387.417394,3000
90,-374.0299358,3000
91,-360.1952982,3000
92,-346.1431975,3000
93,-332.0546277,3000
94,-318.0709623,3000
95,-304.3013875,3000
96,-290.8289786,3000
97,-277.715669,3000
98,-265.0063151,3000
99,-252.7320232,3000
100,-240.9128708,3000
101,-229.5601332,3000
102,-218.6781043,3000
103,-208.2655832,3000
104,-198.317089,3000
105,-188.8238494,3000
106,-179.7746055,3000
107,-171.1562651,3000
108,-162.9544305,3000
109,-155.1538248,3000
110,-147.7386333,3000
111,-140.6927764,3000
112,-134.0001251,3000
113,-127.644671,3000
114,-121.6106574,3000
115,-115.8826801,3000
116,-110.445762,3000
117,-105.2854085,3000
118,-100.3876449,3523.324515
119,-95.73904109,3098.57205
120,-91.32672574,2721.946883
121,-87.13839112,2387.89232
122,-83.16229184,2091.519821
123,-79.38723802,1828.524813
124,-75.8025844,1595.113628
125,-72.39821639,1387.94003
126,-69.16453382,1204.050002
127,-66.09243304,1040.833678
128,-63.17328799,895.9834455
129,-60.39893053,767.457392
130,-57.76163047,653.4473778
131,-55.25407551,552.3511275
132,-52.86935145,462.7478067
133,-50.60092255,383.3766302
134,-48.44261252,313.1181073
135,-46.38858592,250.9775843
136,-44.43333028,196.0707899
137,-42.5716388,147.6111288
138,-40.7985938,104.8985016
139,-39.10955092,67.30946048
140,-37.50012391,34.28853294
141,-35.96617029,5.340569361
142,-34.50377765,-19.97601214
143,-33.10925061,-42.05519328
144,-31.77909852,-61.24863151
145,-30.51002381,-77.87032789
146,-29.2989109,-92.20076008
147,-28.14281583,-104.4905444
148,-27.03895637,-114.9636826
149,-25.98470275,-123.8204432
150,-24.97756888,-131.2399193
151,-24.01520409,-137.3823012
152,-23.09538534,-142.3908969
153,-22.21600993,-146.3939296
154,-21.37508853,-149.5061378
155,-20.57073871,-151.8302001
156,-19.80117883,-153.4580053
157,-19.06472227,-154.4717853
158,-18.35977204,-154.9451249
159,-17.68481563,-154.9438642
160,-17.03842025,-154.5269042
161,-16.41922831,-153.7469267
162,-15.82595321,-152.6510378
163,-15.25737526,-151.281344
164,-14.71233802,-149.6754674
165,-14.18974469,-147.8670066
166,-13.68855485,-145.8859505
167,-13.20778127,-143.759048
168,-12.74648698,-141.5101405
169,-12.30378252,-139.1604593
170,-11.87882332,-136.7288923
171,-11.47080722,-134.2322245
172,-11.07897217,-131.6853523
173,-10.70259408,-129.1014773
174,-10.34098469,-126.4922796
175,-9.99348972,-123.8680739
176,-9.659486997,-121.2379495
177,-9.338384748,-118.6098965
178,-9.029619984,-115.9909192
179,-8.732656969,-113.3871378
180,-8.446985782,-110.8038802
181,-8.172120959,-108.2457646
182,-7.907600209,-105.7167734
183,-7.652983208,-103.2203206
184,-7.407850455,-100.7593111
185,-7.171802197,-98.33619567
186,-6.944457408,-95.95301914
187,-6.725452836,-93.61146437
188,-6.514442085,-91.31289174
189,-6.311094766,-89.05837468
190,-6.115095683,-86.84873158
191,-5.926144067,-84.68455464
192,-5.743952854,-82.56623565
193,-5.568247997,-80.49398936
194,-5.39876782,-78.46787436
195,-5.235262407,-76.48781192
196,-5.077493016,-74.55360287
197,-4.925231538,-72.66494284
198,-4.778259969,-70.82143588
199,-4.636369927,-69.02260669
200,-4.499362176,-67.26791162
201,-4.367046191,-65.55674848
202,-4.239239738,-63.8884654
203,-4.115768477,-62.26236867
204,-3.996465585,-60.6777298
205,-3.8811714,-59.13379185
206,-3.769733084,-57.629775
207,-3.662004302,-56.16488156
208,-3.557844914,-54.73830043
209,-3.45712069,-53.34921106
210,-3.359703036,-51.9967869
211,-3.265468731,-50.68019854
212,-3.17429968,-49.39861643
213,-3.086082681,-48.15121326
214,-3.000709199,-46.93716607
215,-2.918075157,-45.75565812
216,-2.838080733,-44.60588042
217,-2.760630167,-43.48703318
218,-2.685631581,-42.39832698
219,-2.612996803,-41.33898375
220,-2.542641204,-40.30823771
221,-2.474483543,-39.30533599
222,-2.408445811,-38.32953933
223,-2.344453098,-37.38012248
224,-2.282433448,-36.45637466
225,-2.222317739,-35.5575998
226,-2.164039553,-34.6831168
227,-2.107535063,-33.83225966
228,-2.052742922,-33.00437757
229,-1.999604154,-32.19883495
230,-1.948062055,-31.41501145
231,-1.898062095,-30.65230184
232,-1.849551828,-29.91011598
233,-1.8024808,-29.18787864
234,-1.756800472,-28.48502939
235,-1.712464133,-27.80102239
236,-1.669426828,-27.13532618
237,-1.627645284,-26.48742351
238,-1.587077842,-25.85681105
239,-1.547684386,-25.24299918
240,-1.509426286,-24.64551171
241,-1.472266333,-24.06388566
242,-1.436168683,-23.49767091
243,-1.4010988,-22.94643
244,-1.367023406,-22.40973782
245,-1.333910427,-21.88718131
246,-1.301728949,-21.37835919
247,-1.270449167,-20.88288171
248,-1.240042345,-20.4003703
249,-1.210480772,-19.93045735
250,-1.18173772,-19.47278588
251,-1.15378741,-19.0270093
252,-1.126604968,-18.59279113
253,-1.100166397,-18.1698047
254,-1.074448539,-17.75773292
255,-1.049429042,-17.35626799
256,-1.02508633,-16.96511118
257,-1.001399575,-16.58397252
258,-0.978348666,-16.2125706
259,-0.955914181,-15.8506323
260,-0.934077364,-15.49789257
261,-0.912820098,-15.1540942
262,-0.89212488,-14.81898754
263,-0.871974799,-14.49233037
264,-0.852353515,-14.17388759
265,-0.833245236,-13.86343108
266,-0.814634698,-13.56073944
267,-0.796507146,-13.26559785
268,-0.778848314,-12.9777978
269,-0.761644408,-12.69713696
270,-0.744882091,-12.42341897
271,-0.72854846,-12.15645326
272,-0.712631039,-11.89605487
273,-0.697117756,-11.64204432
274,-0.68199693,-11.39424737
275,-0.667257261,-11.15249493
276,-0.652887812,-10.91662288
277,-0.638877998,-10.68647189
278,-0.625217573,-10.46188733
279,-0.611896618,-10.24271906
280,-0.59890553,-10.02882136
281,-0.586235009,-9.820052756
282,-0.57387605,-9.616275881
283,-0.561819931,-9.417357381
284,-0.550058204,-9.223167772
285,-0.538582685,-9.033581326
286,-0.527385445,-8.848475959
287,-0.516458799,-8.667733113
288,-0.505795304,-8.491237655
289,-0.495387743,-8.318877769
290,-0.485229122,-8.150544854
291,-0.475312661,-7.986133427
292,-0.465631787,-7.825541028
293,-0.456180128,-7.668668127
294,-0.446951503,-7.515418035
295,-0.43793992,-7.365696817
296,-0.429139566,-7.219413211
297,-0.420544802,-7.076478541
298,-0.41215016,-6.936806644
299,-0.403950333,-6.800313793
300,-0.395940173,-6.666918619
301,-0.388114683,-6.536542044
302,-0.380469015,-6.409107211
303,-0.372998463,-6.284539416
304,-0.36569846,-6.162766041
305,-0.35856457,-6.043716497
306,-0.351592489,-5.927322159
307,-0.344778037,-5.813516307
308,-0.338117155,-5.702234069
309,-0.331605902,-5.593412367
310,-0.325240448,-5.486989865
311,-0.319017076,-5.382906912
312,-0.312932173,-5.281105495
313,-0.306982231,-5.181529193
314,-0.301163839,-5.084123124
315,-0.295473684,-4.988833903
316,-0.289908548,-4.895609597
317,-0.284465302,-4.804399684
318,-0.279140903,-4.715155007
319,-0.273932398,-4.627827739
320,-0.268836911,-4.54237134
321,-0.26385165,-4.458740523
322,-0.258973898,-4.376891212
323,-0.254201014,-4.296780513
324,-0.24953043,-4.218366676
325,-0.244959648,-4.141609062
326,-0.240486238,-4.06646811
327,-0.236107838,-3.99290531
328,-0.231822148,-3.920883167
329,-0.227626932,-3.850365176
330,-0.223520015,-3.781315791
331,-0.219499278,-3.713700399
332,-0.215562661,-3.647485294
333,-0.21170816,-3.582637647
334,-0.207933823,-3.519125486
335,-0.20423775,-3.45691767
336,-0.200618093,-3.395983863
337,-0.197073051,-3.336294515
338,-0.193600871,-3.277820837
339,-0.190199849,-3.22053478
340,-0.186868321,-3.164409017
341,-0.183604671,-3.109416916
342,-0.180407322,-3.05553253
343,-0.17727474,-3.002730569
344,-0.174205429,-2.950986388
345,-0.171197934,-2.900275965
346,-0.168250836,-2.850575885
347,-0.165362753,-2.801863325
348,-0.162532339,-2.754116035
349,-0.159758281,-2.707312324
350,-0.1570393,-2.661431043
351,-0.154374151,-2.616451571
352,-0.151761619,-2.572353801
353,-0.14920052,-2.529118126
354,-0.146689701,-2.486725424
355,-0.144228036,-2.445157047
356,-0.141814429,-2.404394805
357,-0.139447811,-2.364420957
358,-0.13712714,-2.325218197
359,-0.134851398,-2.286769641
360,-0.132619594,-2.24905882
361,-0.130430763,-2.212069664
362,-0.12828396,-2.175786495
363,-0.126178266,-2.140194012
364,-0.124112784,-2.105277289
365,-0.122086639,-2.071021755
366,-0.120098976,-2.037413192
367,-0.118148964,-2.004437724
368,-0.116235789,-1.972081804
369,-0.114358658,-1.940332212
370,-0.112516797,-1.909176041
371,-0.110709451,-1.878600692
372,-0.108935883,-1.848593863
373,-0.107195373,-1.819143543
374,-0.105487219,-1.790238007
375,-0.103810736,-1.761865804
376,-0.102165253,-1.734015751
377,-0.100550118,-1.706676928
378,-0.098964693,-1.67983867
379,-0.097408355,-1.653490562
380,-0.095880496,-1.627622427
381,-0.094380521,-1.602224329
382,-0.092907851,-1.577286559
383,-0.091461918,-1.552799632
384,-0.090042171,-1.528754284
385,-0.088648068,-1.50514146
386,-0.087279081,-1.481952315
387,-0.085934694,-1.459178206
388,-0.084614405,-1.436810687
389,-0.083317719,-1.414841503
390,-0.082044156,-1.393262589
391,-0.080793247,-1.372066059
392,-0.079564532,-1.351244209
393,-0.078357561,-1.330789505
394,-0.077171897,-1.310694584
